offer_id,destinationLocation,tags,description
1,Paris,romantic restaurant fine-dining,Elegant French restaurant with candlelight ambiance perfect for couples
2,Paris,romantic hotel luxury,Boutique hotel in Montmartre with romantic city views and spa services
3,London,business hotel conference,Modern business hotel with meeting rooms and executive services
4,London,family theme-park adventure,Family-friendly theme park with rides and entertainment for all ages
5,Barcelona,beach resort vacation,Beachfront resort with pools water sports and sunny Mediterranean climate
6,Barcelona,art museum culture,Contemporary art museum featuring local and international exhibitions
7,Tokyo,sushi restaurant authentic,Traditional sushi restaurant with fresh fish and authentic Japanese experience
8,Tokyo,technology tour innovation,Guided tour of Tokyo's tech districts and innovation centers
9,New York,broadway show entertainment,Popular Broadway musical with excellent reviews and talented cast
10,New York,shopping luxury fashion,High-end shopping district with designer boutiques and luxury brands
11,Rome,historical tour ancient,Guided tour of ancient Roman sites including Colosseum and Forum
12,Rome,cooking class italian,Hands-on Italian cooking class with local chef and wine tasting
13,Miami,nightclub party dance,Trendy nightclub with DJ music dancing and vibrant nightlife scene
14,Miami,beach club relaxation,Exclusive beach club with loungers cocktails and ocean views
15,Dubai,luxury shopping mall,Massive shopping mall with luxury brands dining and entertainment
16,Dubai,desert safari adventure,Desert safari with camel riding dune bashing and traditional dinner
17,Bangkok,street food tour,Authentic street food tour exploring local markets and traditional dishes
18,Bangkok,temple tour spiritual,Sacred temple tour with Buddhist culture and meditation experience
19,Sydney,harbor cruise scenic,Scenic harbor cruise with Opera House views and gourmet dining
20,Sydney,surfing lesson beach,Professional surfing lessons at famous Bondi Beach with equipment included
